# wikidata_stupas_q180987.csv — Wikidata Q180987 stupa corpus
# DO NOT HAND-EDIT. Regenerate with: python3 data/fetch_wikidata_q180987.py --fetch
# Generated: 2026-04-02T17:04:37Z
# Source: https://query.wikidata.org/sparql
# Query: SELECT DISTINCT ?item (P31/P279* wd:Q180987) with P625 coords
# Filters: none (global, no longitude/date/label filter)
# N = 229
qid,name,lat,lon,country
Q938223,Mohra Muradu,33.77919444,72.88761111,Pakistan
Q18110458,Bhamala Stupa,33.832777777,72.975833333,Pakistan
Q97705589,Site and stupa and monastery of the Sakyas,27.44795278,83.127975,India
Q20580022,Phra Sathup Naresuan,19.463342,98.961648,Thailand
Q25379338,Shingardara stupa,34.691389,72.247222,Pakistan
Q19284999,Sujata Garh,24.697915,85.003319,India
Q106309221,Q106309221,-7.85533,112.64483,Indonesia
Q19828249,Phra That Si Surat,9.099651,99.351315,Thailand
Q4232576,Chorten Kora,27.605833,91.49501,Bhutan
Q73015480,Tisserru Stupa,34.181630105,77.583983179,India
Q65053328,Buddha Samyak Darshan Museum and Memorial Stupa,25.99,85.13,India
Q59657856,"Ancient Stupa, Chaitya and Monastery at Parihaspora",34.15952,74.652925,India
Q31350944,Prang of Wat Arun,13.74371,100.488966,Thailand
Q28223488,Sphola Stupa,34.074722222,71.208333333,Pakistan
Q2090440,Shanti Stupa,34.17361111,77.57472222,India
Q842918,Kanishka stupa,33.99916667,71.59194444,Pakistan
Q115867091,Giriyak Stupa,25.025,85.513055555,India
Q97945979,Buddhist stupas,23.43305278,77.84089722,India
Q19324200,Chhoti Pahari stupa,25.59,85.19,India
Q19702014,Sandamuni Pagoda,22.00347,96.109758,Myanmar
Q19343063,Relic Stupa,25.9950836,85.1177868,India
Q5002535,Butkara Stupa,34.7571,72.3622,Pakistan
Q97946315,Buddhist stupa,23.66495024,78.0983553,India
Q6415081,Kiri Vehera,6.7,81.55,Sri Lanka
Q17351147,Bhattiprolu Stupa,16.09946611,80.78081715,India
