# osm_stupas.csv — OpenStreetMap stupa corpus
# DO NOT HAND-EDIT. Regenerate with: python3 data/scripts/fetch_osm_stupas.py
# Source: OpenStreetMap via Overpass API (overpass-api.de)
# Tags: building=stupa, historic=stupa, ruins=stupa (man_made=stupa excluded — see script)
# License: OpenStreetMap data (c) OpenStreetMap contributors, ODbL 1.0
# N (deduplicated) = 259
osm_id,name,lat,lon,country,matched_tag
way/553652493,,31.6462709,92.4426215,,building=stupa
way/553652550,,31.6728949,92.4677206,,building=stupa
way/553655291,,31.6945977,92.4896207,,building=stupa
way/554584169,,31.4615519,92.4597231,,building=stupa
way/567751365,ရွှေစေတီဘုရား,16.4649592,97.6499711,,building=stupa
way/571640676,မဂ္ဂင်စံအောင် စံကျောင်းတော်,16.4992120,97.6661994,,building=stupa
way/572191293,အောင်အေးစေတီတော်,16.3910694,97.6392885,,building=stupa
way/572493635,အဘယာအနန္တာစေတီတော်,16.4281950,97.6241925,,building=stupa
way/572747459,ဗူးဘုရားကျောင်း,16.4989821,97.6432594,,building=stupa
way/591728521,Stupa,17.9772008,97.7406440,,building=stupa
way/604444085,聖仏舎利宝塔,35.1377450,136.9062507,,building=stupa
way/614155421,ပြည်လုံးချမ်းသာစေတီတော်,16.4996023,97.6203288,,building=stupa
way/614155422,ရွှေချက်သိုလွမ်းစေတီတော်,16.4973038,97.6306842,,building=stupa
way/614176943,အတုလပရမာန်သိဒ္ဓိအောင်စေတီတော်,16.4886685,97.6808592,,building=stupa
way/614191058,သက္ကပါဠိဟာရိယစေတီတော်မြတ်,16.4482387,97.6344741,,building=stupa
way/627380674,,21.9605919,100.8082379,,building=stupa
way/630318252,,16.7463499,95.3086305,,building=stupa
way/631944770,,39.6476219,98.3386559,,building=stupa
way/637516668,Gongtang Chorten,35.1900425,102.5050595,,building=stupa
way/637516705,,35.3138620,102.7715984,,building=stupa
way/637599586,,34.8270196,102.8431235,,building=stupa
way/637861625,,34.7079324,103.0076606,,building=stupa
way/655974843,,36.0235719,101.9752966,,building=stupa
way/656677274,,33.0932244,100.4785672,,building=stupa
way/660705530,勐焕大金塔,24.4265200,98.5959295,,building=stupa
way/685770890,姐勒金塔,24.0317201,97.8984055,,historic=stupa
way/701236926,,20.5905665,96.5916245,,building=stupa
way/709861369,,7.1320695,80.4035492,,building=stupa
way/756818957,,8.5959703,80.4671699,,building=stupa
way/758871593,,28.9415533,99.7932857,,building=stupa
way/759161097,,29.1597138,100.1736971,,building=stupa
way/759365267,,28.5784046,100.4526315,,building=stupa
way/759376315,,28.6543071,100.2450499,,building=stupa
way/759620514,,30.4900450,100.0967054,,building=stupa
way/759632275,,30.5583643,100.0374873,,building=stupa
way/759971050,,29.7133426,101.0617642,,building=stupa
way/760936764,,31.5166514,99.1419315,,building=stupa
way/761170092,,31.0571364,99.6277434,,building=stupa
way/761648599,,32.2586705,99.2710022,,building=stupa
way/761710407,,32.0016109,99.4938469,,building=stupa
way/761751711,,31.7976679,99.4811060,,building=stupa
way/762210126,,31.3215746,100.2370071,,building=stupa
way/762648957,,32.4756963,99.8455591,,building=stupa
way/763042069,,31.6693579,101.7190262,,building=stupa
way/768406724,,41.7661498,101.1407989,,building=stupa
way/804660842,,6.3271431,80.2510912,,building=stupa
way/809958601,Chedi Singha Lom,14.3590888,100.5620131,,ruins=stupa
way/819190065,,30.1396218,103.4230224,,building=stupa
way/842456107,Friedensstupa,48.4410483,15.7663383,,building=stupa
way/867938659,,18.6091779,98.4898278,,building=stupa
way/915756503,Shubadrara Temple Koggala,5.9859941,80.3286384,,building=stupa
way/973100670,,31.2483843,97.5556118,,building=stupa
way/1002458298,,37.9703414,100.9281961,,building=stupa
way/1003393379,,29.2151292,100.1018812,,building=stupa
way/1003988707,,31.8045495,99.4606155,,building=stupa
way/1004086951,,32.7236854,98.3851540,,building=stupa
way/1008062766,,19.3958090,72.8589524,,building=stupa
way/1085257290,,27.6701775,85.3228358,,building=stupa
way/1099848090,,31.7178629,98.5697833,,building=stupa
way/1099848107,,31.7048884,98.5736305,,building=stupa
way/1099848108,,31.6911968,98.5874826,,building=stupa
way/1099848110,,31.6761486,98.6045956,,building=stupa
way/1162095930,,36.0436281,102.1534525,,building=stupa
way/1209666374,,34.5697059,102.5630553,,building=stupa
way/1214744138,,33.9623398,104.0789091,,building=stupa
