subset,label,N,p0_pct,thresh_deg,thresh_km,n_Ap,obs_pct_Ap,OR_Ap,binom_Ap,sig_Ap,fish_Ap,n_C,obs_pct_C,OR_C,binom_C,sig_C
stupa_q180,Wikidata Q180987 stupa (N=229),229,1.5,0.0225,2.5,4,1.75,1.164,4.500e-01,ns,5.000e-01,5,2.18,1.456,2.615e-01,ns
stupa_q180,Wikidata Q180987 stupa (N=229),229,2.0,0.03,3.3,7,3.06,1.528,1.774e-01,ns,3.857e-01,5,2.18,1.092,4.841e-01,ns
stupa_q180,Wikidata Q180987 stupa (N=229),229,2.5,0.0375,4.2,7,3.06,1.223,3.491e-01,ns,5.000e-01,6,2.62,1.048,5.107e-01,ns
stupa_q180,Wikidata Q180987 stupa (N=229),229,3.0,0.045,5.0,8,3.49,1.164,3.816e-01,ns,5.000e-01,8,3.49,1.164,3.816e-01,ns
stupa_q180,Wikidata Q180987 stupa (N=229),229,3.5,0.0525,5.8,11,4.8,1.372,1.821e-01,ns,3.202e-01,11,4.8,1.372,1.821e-01,ns
stupa_q180,Wikidata Q180987 stupa (N=229),229,4.0,0.06,6.7,11,4.8,1.201,3.110e-01,ns,4.099e-01,12,5.24,1.31,2.090e-01,ns
stupa_q180,Wikidata Q180987 stupa (N=229),229,4.5,0.0675,7.5,13,5.68,1.262,2.342e-01,ns,3.348e-01,15,6.55,1.456,9.534e-02,~
stupa_q180,Wikidata Q180987 stupa (N=229),229,5.0,0.075,8.3,16,6.99,1.397,1.129e-01,ns,2.140e-01,15,6.55,1.31,1.753e-01,ns
stupa_q180,Wikidata Q180987 stupa (N=229),229,5.5,0.0825,9.2,16,6.99,1.27,1.961e-01,ns,3.509e-01,15,6.55,1.191,2.803e-01,ns
stupa_q180,Wikidata Q180987 stupa (N=229),229,6.0,0.09,10.0,20,8.73,1.456,6.040e-02,~,1.865e-01,17,7.42,1.237,2.161e-01,ns
stupa_q180,Wikidata Q180987 stupa (N=229),229,6.5,0.0975,10.8,20,8.73,1.344,1.110e-01,ns,2.411e-01,18,7.86,1.209,2.354e-01,ns
stupa_q180,Wikidata Q180987 stupa (N=229),229,7.0,0.105,11.7,21,9.17,1.31,1.254e-01,ns,2.466e-01,19,8.3,1.185,2.541e-01,ns
stupa_q180,Wikidata Q180987 stupa (N=229),229,7.5,0.1125,12.5,23,10.04,1.339,9.450e-02,~,2.041e-01,19,8.3,1.106,3.580e-01,ns
stupa_q180,Wikidata Q180987 stupa (N=229),229,8.0,0.12,13.3,24,10.48,1.31,1.064e-01,ns,2.093e-01,21,9.17,1.146,2.893e-01,ns
stupa_q180,Wikidata Q180987 stupa (N=229),229,8.5,0.1275,14.2,26,11.35,1.336,8.050e-02,~,1.732e-01,22,9.61,1.13,3.060e-01,ns
stupa_q180,Wikidata Q180987 stupa (N=229),229,9.0,0.135,15.0,27,11.79,1.31,9.046e-02,~,2.229e-01,24,10.48,1.164,2.467e-01,ns
