SITE-AS-ANCHOR RANKING AUDIT
Generated : Mon Apr 20 20:13:27 UTC 2026
Script    : tools/generate_audit_site_as_anchor.py
Corpus    : 1012 sites (1011 inscribed Cultural/Mixed + Gerizim synthetic)
           Each site used as anchor; tests against remaining N = 1011 sites
Threshold : A+ ≤ 0.00321 beru (10.7 km)
Null rate : 6% geometric (4% of 360° in A+ bands)

──────────────────────────────────────────────────────────────────────────────────────────────────────────────
DISTRIBUTION SUMMARY

  Sites ranked:  1012
  Mean A+:       65.13 ± 9.27
  Max A+:        92
  Min A+:        48
  Expected (4%): 40.4

──────────────────────────────────────────────────────────────────────────────────────────────────────────────
FOCAL ANCHOR RESULTS

  Site                                             Lon°E   A++    A+      A   Rank   % above     p-value  sig
  ----------------------------------------------------------------------------------------------------
  Mount Gerizim (Tentative List)                  35.269     7    88    228     18      1.7%  2.7224e-03  **
  Old City of Jerusalem                          35.2317     7    88    217     18      1.7%  2.7224e-03  **

──────────────────────────────────────────────────────────────────────────────────────────────────────────────
FULL RANKING  (all 1012 sites, sorted by A+ count)

   Rank   A++    A+      A      Lon°E  Site
    327     4    68    200    32.6390  Ancient Thebes with its Necropolis
    327     4    68    194    35.7283  As-Salt - The Place of Tolerance and Urban Hospitality
    327     4    68    200    43.3155  Historic Town of Zabid
    327     4    68    201    48.2914  Sheikh Safi al-din Khānegāh and Shrine Ensemble in Ardabil
    327     4    68    226    50.5056  Dilmun Burial Mounds
    327     4    68    192    72.8362  Chhatrapati Shivaji Terminus (formerly Victoria Terminus)
    327     4    68    199   121.5572  The Grand Canal
    327     4    68    201   129.2914  Historic Villages of Korea: Hahoe and Yangdong
    327     4    68    192   132.3246  Itsukushima Shinto Shrine
    327     3    68    196   -50.1402  Historic Centre of the Town of Goiás
    327     3    68    228   -15.5167  Stone Circles of Senegambia
    327     3    68    192    -5.5569  Archaeological Site of Volubilis
    327     3    68    230    -3.5153  Archaeological Site of Atapuerca
    327     3    68    195    15.9421  Pilgrimage Church of St John of Nepomuk at Zelená Hora
    327     3    68    222    20.5317  Studenica Monastery
    327     3    68    193    21.8969  Temple of Apollo Epicurius at Bassae
    327     3    68    194    39.8917  Rock Art in the Hail Region of Saudi Arabia
    327     3    68    195    48.8854  Cultural Landscape of Khinalig People and “Köç Yolu” Transhumance
    327     3    68    193    72.9358  Elephanta Caves
    327     3    68    193   105.8964  Trang An Landscape Complex
    327     3    68    195   141.8853  Budj Bim Cultural Landscape
    327     2    68    223    -3.4690  Renaissance Monumental Ensembles of Úbeda and Baeza
    327     2    68    199     4.5522  Osun-Osogbo Sacred Grove
    327     2    68    204    10.3400  Mines of Rammelsberg, Historic Town of Goslar and Upper Harz Wate
    327     2    68    195    15.8735  Jewish Quarter and St Procopius' Basilica in Třebíč
    327     2    68    195    39.8761  Historical Centre of the City of Yaroslavl
    327     2    68    224    50.5183  Qal’at al-Bahrain – Ancient Harbour and Capital of Dilmun
    327     2    68    226   110.4917  Prambanan Temple Compounds
    327     1    68    240    -3.5899  Alhambra, Generalife and Albayzín, Granada
    327     1    68    240     2.3983  Bourges Cathedral

    385     6    67    214     2.5532  Tipasa
    385     6    67    221    11.1333  Ecosystem and Relict Cultural Landscape of Lopé-Okanda
    385     6    67    216    14.5500  Historic Centre of Prague
    385     6    67    216    26.5500  The Historic Centre (Chorá) with the Monastery of Saint-John the 
    385     5    67    228   -75.5333  Port, Fortresses and Group of Monuments, Cartagena
    385     5    67    197   -74.0447  Statue of Liberty
    385     5    67    228   -72.5334  Historic Sanctuary of Machu Picchu
    385     5    67    228    11.4667  Historic Centres of Stralsund and Wismar
    385     5    67    235    20.4228  Stari Ras and Sopoćani
    385     5    67    200    22.3183  Archaeological Site of Aigai (modern name Vergina)
    385     5    67    199    80.6403  Sacred City of Kandy
    385     4    67    198  -139.4399  Tr’ondëk-Klondike
    385     4    67    227   -90.5372  Historic Fortified Town of Campeche
    385     4    67    225    -0.4936  Forts and Castles, Volta, Greater Accra, Central and Western Regi
    385     4    67    205     3.7517  M'Zab Valley
    385     4    67    228     5.4691  Flemish Béguinages
    385     4    67    200    16.3133  Palace and Gardens of Schönbrunn
    385     4    67    200    16.3144  Litomyšl Castle
    385     4    67    197    21.8583  Archaeological Site of Cyrene
    385     4    67    198    28.5000  Matobo Hills
    385     4    67    227    44.4629  Ḥimā Cultural Area
    385     4    67    198   100.5606  Historic City of Ayutthaya
    385     4    67    199   115.3361  Cultural Landscape of Bali Province: the <em>Subak</em> System as
    385     4    67    205   126.7517  Seowon, Korean Neo-Confucian Academies
    385     3    67    196   -89.1333  Maya Site of Copan
    385     3    67    198   -16.4986  Saloum Delta
    385     3    67    192    -5.5583  Historic City of Meknes
    385     3    67    198     0.8661  Abbey Church of Saint-Savin sur Gartempe
    385     3    67    194    15.8891  The Cathedral of St James in Šibenik
    385     3    67    194    30.9333  Great Zimbabwe National Monument
    385     3    67    190    76.8818  Sacred Ensembles of the Hoysalas
    385     2    67    225  -108.4856  Mesa Verde National Park
    385     2    67    225    14.5144  City of Valletta
    385     1    67    243     5.4073  Dutch Water Defence Lines
    385     0    67    226    -6.4755  Brú na Bóinne - Archaeological Ensemble of the Bend of the Boyne
    385     0    67    194     6.9098  Castles of Augustusburg and Falkenlust at Brühl

    421     8    66    205     6.7461  Lavaux, Vineyard Terraces
    421     7    66    204  -101.2556  Historic Town of Guanajuato and Adjacent Mines
    421     7    66    197   -16.5044  Island of Saint-Louis
    421     7    66    204     0.7455  Catalan Romanesque Churches of the Vall de Boí
    421     7    66    197    22.4962  Archaeological Site of Delphi
    421     7    66    221    35.1269  Necropolis of Bet She’arim: A Landmark of Jewish Renewal
    421     6    66    205   -77.2500  Río Abiseo National Park
    421     6    66    205     6.7496  La Chaux-de-Fonds / Le Locle, Watchmaking Town Planning
    421     6    66    214    32.5514  Tombs of Buganda Kings at Kasubi
    421     6    66    214    35.5528  Baptism Site “Bethany Beyond the Jordan” (Al-Maghtas)
    421     6    66    193   105.8386  Central Sector of the Imperial Citadel of Thang Long - Hanoi
    421     5    66    194  -170.1458  Papahānaumokuākea
    421     5    66    201   -77.0326  Historic Centre of Lima
    421     5    66    220   -69.8858  Colonial City of Santo Domingo
    421     5    66    215    11.5500  Val d'Orcia
    421     5    66    200    24.9667  Frontiers of the Roman Empire – Dacia
    421     5    66    220   104.5372  Koh Ker: Archaeological Site of Ancient Lingapura or Chok Gargyar
    421     5    66    221   113.5364  Historic Centre of Macao
    421     4    66    195     5.7367  Djémila
    421     4    66    221    11.1128  The Palaces of King Ludwig II of Bavaria: Neuschwanstein, Linderh
    421     4    66    213    47.5628  Royal Hill of Ambohimanga
    421     4    66    192    77.7397  Buddhist Monuments at Sanchi
    421     3    66    235  -102.5735  Historic Centre of Zacatecas
    421     3    66    196   -89.0403  Archaeological Park and Ruins of Quirigua
    421     3    66    190    -4.1167  Old Town of Segovia and its Aqueduct
    421     3    66    196    -2.1310  Historic Walled Town of Cuenca
    421     3    66    194     6.8442  Völklingen Ironworks
    421     3    66    197     6.9572  Cologne Cathedral
    421     3    66    189     7.8692  Ivrea, industrial city of the 20th century
    421     3    66    207    28.2278  Medieval City of Rhodes
    421     3    66    192    38.7410  Nemrut Dağ
    421     3    66    194    66.8435  Cultural Landscape and Archaeological Remains of the Bamiyan Vall
    421     3    66    194    72.8805  Taxila
    421     2    66    193    -8.5554  Santiago de Compostela (Old Town)
    421     2    66    190    94.8764  Moidams – the Mound-Burial System of the Ahom Dynasty
    421     1    66    228  -105.5460  Taos Pueblo
    421     0    66    222   -57.9418  The Architectural Work of Le Corbusier, an Outstanding Contributi
    421     0    66    191    -6.2436  Archaeological Ensemble of Mérida
    421     0    66    201    46.3008  Tabriz Historic Bazaar Complex

    460     8    65    203   -65.2596  Historic City of Sucre
    460     8    65    203    24.7400  Historic Centre (Old Town) of Tallinn
    460     8    65    203    30.7416  The Historic Centre of Odesa
    460     7    65    195   -12.3386  Bassari Country: Bassari, Fula and Bedik Cultural Landscapes
    460     7    65    195    19.9275  Old Town of Corfu
    460     7    65    194    28.9279  Struve Geodetic Arc
    460     6    65    203    21.9715  Old town of Kuldīga
    460     6    65    203   105.9711  Xixia Imperial Tombs
    460     5    65    197   -28.4367  Landscape of the Pico Island Vineyard Culture
    460     5    65    215    11.5503  Luther Memorials in Eisleben and Wittenberg
    460     5    65    202   144.9703  Royal Exhibition Building and Carlton Gardens
    460     4    65    195    -0.2940  Royal Botanic Gardens, Kew
    460     4    65    194     9.8464  Rhaetian Railway in the Albula / Bernina Landscapes
    460     4    65    195    14.7057  Late Baroque Towns of the Val di Noto (South-Eastern Sicily)
    460     4    65    190    56.7450  Archaeological Sites of Bat, Al-Khutm and Al-Ayn
    460     3    65    194   -71.5368  Historical Centre of the City of Arequipa
    460     3    65    189    -7.1289  Ksar of Ait-Ben-Haddou
    460     3    65    206     1.2478  Archaeological Ensemble of Tarraco
    460     3    65    198    12.4519  San Marino Historic Centre and Mount Titano
    460     3    65    198    15.4540  Historic Centre of Telč
    460     3    65    199    66.9639  Samarkand – Crossroad of Cultures
    460     3    65    198   132.4536  Hiroshima Peace Memorial (Genbaku Dome)
    460     2    65    207   -55.7530  Jesuit Missions of La Santísima Trinidad de Paraná and Jesús de T
    460     2    65    234    -0.5722  Bordeaux, Port of the Moon
    460     2    65    192     4.9111  Droogmakerij de Beemster (Beemster Polder)
    460     2    65    191    10.8618  Djerba: Testimony to a settlement pattern in an island territory
    460     2    65    191    11.7500  Vegaøyan – The Vega Archipelago
    460     2    65    190    26.6914  Architectural, Residential and Cultural Complex of the Radziwill 
    460     2    65    195    35.6581  Mount Mulanje Cultural Landscape
    460     2    65    192    73.9117  Churches and Convents of Goa
    460     2    65    192    80.7500  Ancient City of Sigiriya
    460     1    65    213    26.5594  Selimiye Mosque and its Social Complex
    460     1    65    195    40.5794  Lower Valley of the Awash
    460     1    65    198    79.9432  Kakatiya Rudreshwara (Ramappa) Temple, Telangana
    460     1    65    196    80.6492  Rangiri Dambulla Cave Temple

    495     7    64    195    10.9257  Cathedral, Torre Civica and Piazza Grande, Modena
    495     6    64    195   -79.0747  Chan Chan Archaeological Zone
    495     6    64    204   -62.0234  Jesuit Missions of the Chiquitos
    495     6    64    209   -61.7617  Antigua Naval Dockyard and Related Archaeological Sites
    495     6    64    204    33.9754  Saint Catherine Area
    495     6    64    208    40.2393  Diyarbakır Fortress and Hevsel Gardens Cultural Landscape
    495     5    64    191     2.6947  Cultural Landscape of the Serra de Tramuntana
    495     5    64    191     2.6981  Palace and Park of Fontainebleau
    495     5    64    211     8.5686  Abbey and Altenmünster of Lorsch
    495     5    64    197    13.5667  Berlin Modernism Housing Estates
    495     5    64    218    29.5406  Maloti-Drakensberg Park
    495     5    64    218    35.5408  Ngorongoro Conservation Area
    495     5    64    197    43.5667  Archaeological Site of Ani
    495     5    64    196    46.5725  At-Turaif District in ad-Dir'iyah
    495     5    64    197   130.5667  Sites of Japan’s Meiji Industrial Revolution: Iron and Steel, Shi
    495     4    64    210   -78.4310  Monticello and the University of Virginia in Charlottesville
    495     4    64    219     2.1194  Palace and Park of Versailles
    495     4    64    193     9.8510  Portovenere, Cinque Terre, and the Islands (Palmaria, Tino and Ti
    495     4    64    197    12.4574  Vatican City
    495     4    64    202    13.0433  Historic Centre of the City of Salzburg
    495     4    64    193    18.8512  Tarnowskie Góry Lead-Silver-Zinc Mine and its Underground Water M
    495     4    64    193    24.8530  Kernavė Archaeological Site (Cultural Reserve of Kernavė)
    495     4    64    233    35.4339  Wadi Rum Protected Area
    495     4    64    188   115.8667  Lushan National Park
    495     4    64    229   116.4447  Temple of Heaven: an Imperial Sacrificial Altar in Beijing
    495     4    64    202   118.0431  Mount Wuyi
    495     3    64    194   -77.5214  Sacred City of Caral-Supe
    495     3    64    190     4.8644  The Climats, terroirs of Burgundy
    495     3    64    216     5.5438  Eisinga Planetarium in Franeker
    495     3    64    190    32.6926  City of Safranbolu
    495     3    64    196    49.5769  Al-Ahsa Oasis, an Evolving Cultural Landscape
    495     2    64    191   -55.1500  Historic Inner City of Paramaribo
    495     2    64    189    -4.1580  Monastery and Site of the Escurial, Madrid
    495     2    64    190     6.0839  Aachen Cathedral
    495     2    64    199    19.9372  Historic Centre of Kraków
    495     2    64    193    43.9156  Samarra Archaeological City
    495     1    64    199   -76.0490  National Archeological Park of Tierradentro
    495     1    64    199    37.9550  Hegra Archaeological Site (al-Hijr / Madā ͐ in Ṣāliḥ)
    495     1    64    192    40.8525  Lamu Old Town
    495     1    64    203    42.7183  Hatra
    495     0    64    196    38.7186  Aksum
    495     0    64    193    48.2564  Susa

    537     8    63    196     8.6639  Mathildenhöhe Darmstadt
    537     7    63    230     8.4424  Speyer Cathedral
    537     7    63    209    31.2334  Historic Cairo
    537     7    63    208   100.2333  Old Town of Lijiang
    537     6    63    210   103.2376  Ban Chiang Archaeological Site
    537     5    63    195   -99.2964  Archaeological Monuments Zone of Xochicalco
    537     5    63    195    -9.3255  Royal Building of <i>Mafra</i> – Palace, Basilica, Convent, <i>Ce
    537     5    63    197    13.5719  Sukur Cultural Landscape
    537     5    63    234    14.4368  Megalithic Temples of Malta
    537     5    63    194    25.9247  Residence of Bukovinian and Dalmatian Metropolitans
    537     5    63    233    47.4367  Bisotun
    537     5    63    195    76.9317  Mountain Railways of India
    537     5    63    192   115.9227  Peking Man Site at Zhoukoudian
    537     4    63    202  -113.0204  Rock Paintings of the Sierra de San Francisco
    537     4    63    210   -51.4332  Aasivissuit – Nipisat. Inuit Hunting Ground between Ice and Sea
    537     4    63    203    -8.0222  Medina of Marrakesh
    537     4    63    219     2.1197  Fortifications of Vauban
    537     4    63    196     3.4731  The Causses and the Cévennes, Mediterranean agro-pastoral Cultura
    537     4    63    200     7.0461  Zollverein Coal Mine Industrial Complex in Essen
    537     4    63    216    17.5426  Birka and Hovgården
    537     4    63    202    19.0429  Budapest, including the Banks of the Danube, the Buda Castle Quar
    537     4    63    201    28.0453  Sardis and the Lydian Tumuli of Bin Tepe
    537     4    63    210    38.5667  Ensemble of the Ferapontov Monastery
    537     3    63    190    -7.1547  Garrison Border Town of Elvas and its Fortifications
    537     3    63    205    31.2746  Historic Monuments of Novgorod and Surroundings
    537     3    63    195    36.4681  Ancient City of Bosra
    537     3    63    198    73.5889  Rohtas Fort
    537     2    63    193   -89.7373  Ancient Maya City and Protected Tropical Forests of Calakmul, Cam
    537     2    63    194    12.4761  Historic Centre of Rome, the Properties of the Holy See in that C
    537     2    63    185    34.8408  Biblical Tels - Megiddo, Hazor, Beer Sheba
    537     2    63    193   102.2625  Melaka and George Town, Historic Cities of the Straits of Malacca
    537     2    63    202   120.7204  Classical Gardens of Suzhou
    537     1    63    205    -4.7797  Historic Centre of Cordoba
    537     1    63    199    -2.2754  Cave of Altamira and Paleolithic Cave Art of Northern Spain
    537     1    63    224    17.0770  Centennial Hall in Wrocław
    537     1    63    203    19.2783  Vlkolínec
    537     1    63    200    25.2931  Vilnius Historic Centre
    537     1    63    229   128.4529  Royal Tombs of the Joseon Dynasty
    537     0    63    195   -65.7498  City of Potosí

    576     8    62    232     8.4395  ShUM Sites of Speyer, Worms and Mainz
    576     7    62    209   -55.7664  The work of engineer Eladio Dieste: Church of Atlántida
    576     7    62    204     3.7360  Vézelay, Church and Hill
    576     7    62    204    27.7360  Ancient City of Nessebar
    576     7    62    204    39.7361  Sacred Mijikenda Kaya Forests
    576     7    62    233    47.4386  The Ahwar of Southern Iraq: Refuge of Biodiversity and the Relict
    576     6    62    193  -105.3000  Wixárika Route through Sacred Sites to Wirikuta (Tatehuarí Huajuy
    576     6    62    209     7.2340  Frontiers of the Roman Empire – The Lower German Limes
    576     6    62    191   134.7000  Himeji-jo
    576     5    62    198    57.5032  Aapravasi Ghat
    576     5    62    195    79.9311  Khajuraho Group of Monuments
    576     5    62    204   135.7342  Buddhist Monuments in the Horyu-ji Area
    576     4    62    221   -66.8907  Ciudad Universitaria de Caracas
    576     4    62    192     5.6789  Ir.D.F. Woudagemaal (D.F. Wouda Steam Pumping Station)
    576     4    62    204     7.2723  Nice, Winter Resort Town of the Riviera
    576     4    62    192    11.6786  Historic Centre of the City of Pienza
    576     4    62    198    18.7000  Natural and Culturo-Historical Region of Kotor
    576     4    62    193    20.6761  Natural and Cultural Heritage of the Ohrid region
    576     4    62    205    31.2611  Memphis and its Necropolis – the Pyramid Fields from Giza to Dahs
    576     4    62    222    35.1083  Hebron/Al-Khalil Old Town
    576     4    62    229    35.4433  Petra
    576     4    62    205    43.2611  Ashur (Qal'at Sherqat)
    576     4    62    198    75.7002  Ajanta Caves
    576     3    62    198   -83.7167  Viñales Valley
    576     3    62    222    -3.8919  Ancient Ferrous Metallurgy Sites of Burkina Faso
    576     3    62    196     6.4689  Timgad
    576     3    62    199     7.9636  Vineyard Landscape of Piedmont: Langhe-Roero and Monferrato
    576     3    62    192    15.2674  Kutná Hora: Historical Town Centre with the Church of St Barbara 
    576     3    62    204    16.2514  Historic City of Trogir
    576     3    62    197    33.2792  Archaeological Sites of the Island of Meroe
    576     3    62    199    48.2828  Citadel, Ancient City and Fortress Buildings of Derbent
    576     3    62    198    49.0589  Bolgar Historical and Archaeological Complex
    576     3    62    200    94.9642  Bagan
    576     3    62    198   121.0606  Rice Terraces of the Philippine Cordilleras
    576     2    62    187   -77.9186  Historic Centre of Camagüey
    576     2    62    185     4.8333  Historic Site of Lyon
    576     2    62    188    12.0799  Roskilde Cathedral
    576     2    62    198    24.2853  Archaeological Site of Philippi
    576     2    62    186    49.8333  Walled City of Baku with the Shirvanshah's Palace and Maiden Towe
    576     2    62    203   109.2600  Mausoleum of the First Qin Emperor
    576     2    62    198   118.0619  Kulangsu, a Historic International Settlement
    576     2    62    185   178.8345  Levuka Historical Port Town
    576     1    62    208   -80.4522  Urban Historic Centre of Cienfuegos
    576     1    62    197    -8.2928  Historic Centre of Guimarães and Couros Zone
    576     1    62    204     9.5383  Crespi d'Adda
    576     1    62    225    23.0806  Sanctuary of Asklepios at Epidaurus
    576     1    62    193    45.2688  Landmarks of the Ancient Kingdom of Saba, Marib
    576     1    62    224    62.0667  State Historical and Cultural Park “Ancient Merv”

    624     7    61    196     8.6674  Funerary Tradition in the Prehistory of Sardinia – <em>The domus 
    624     7    61    196    29.6667  Abu Mena
    624     7    61    196    35.6667  Cultural and Historic Ensemble of the Solovetsky Islands
    624     7    61    196    44.6664  Monasteries of Haghpat and Sanahin
    624     7    61    196    77.6665  Fatehpur Sikri
    624     7    61    196   116.6685  Murujuga Cultural Landscape
    624     6    61    205    22.0286  Church Town of Gammelstad, Luleå
    624     5    61    203   -43.9736  Pampulha Modern Ensemble
    624     5    61    198    -8.5019  Portuguese City of Mazagan (El Jadida)
    624     5    61    201    -7.0333  Ancient <I>Ksour</I> of Ouadane, Chinguetti, Tichitt and Oualata
    624     5    61    202     3.9823  Neolithic Flint Mines at Spiennes (Mons)
    624     5    61    197     9.5000  Old Town of Ghadamès
    624     5    61    202    13.6200  Žatec and the Landscape of Saaz Hops
    624     5    61    205    16.2709  Castel del Monte
    624     5    61    203    16.6161  Tugendhat Villa in Brno
    624     5    61    197    27.5000  Churches of Moldavia
    624     5    61    197    33.5008  Ancient City of Tauric Chersonese and its Chora
    624     5    61    202    37.6204  Kremlin and Red Square, Moscow
    624     5    61    205   100.9723  Archaeological Heritage of the Lenggong Valley
    624     5    61    201   126.9911  Changdeokgung Palace Complex
    624     5    61    202   130.0258  Hidden Christian Sites in the Nagasaki Region
    624     5    61    197   135.4994  Mozu-Furuichi Kofun Group: Mounded Tombs of Ancient Japan
    624     5    61    205   151.2153  Sydney Opera House
    624     4    61    204  -100.3921  Historic Monuments Zone of Querétaro
    624     4    61    205   -76.3947  Coffee Cultural Landscape of Colombia
    624     4    61    201   -73.4019  Churches of Chiloé
    624     4    61    203   -70.3828  Sewell Mining Town
    624     4    61    201     1.5956  Madriu-Perafita-Claror Valley
    624     4    61    205    21.7333  Tsodilo
    624     4    61    229    35.4441  Ancient Jericho/Tell es-Sultan
    624     4    61    205   103.6053  Mount Qingcheng and the Dujiangyan Irrigation System
    624     4    61    205   103.9740  Angkor
    624     3    61    203  -151.3724  Taputapuātea
    624     3    61    205    -4.0244  Historic City of Toledo
    624     3    61    198     0.7028  The Loire Valley between Sully-sur-Loire and Chalonnes
    624     3    61    200    24.9872  Fortress of Suomenlinna
    624     3    61    200   117.9875  Ancient Villages in Southern Anhui – Xidi and Hongcun
    624     1    61    199    -5.3421  Gorham's Cave Complex
    624     1    61    208     6.5495  Roman Monuments, Cathedral of St Peter and Church of Our Lady in 
    624     1    61    200    19.2880  Mehmed Paša Sokolović Bridge in Višegrad
    624     1    61    200    21.5117  Old Rauma
    624     1    61    225    35.0689  Old City of Acre
    624     1    61    200    99.5107  Historic Town of Sukhothai and Associated Historic Towns

    667     6    60    198    -4.9904  Medina of Fez
    667     6    60    198    16.0100  Engelsberg Ironworks
    667     6    60    205    19.0297  Castle of the Teutonic Order in Malbork
    667     6    60    202    34.9681  Sites of Human Evolution at Mount Carmel: The Nahal Me’arot / Wad
    667     6    60    204    58.2110  Parthian Fortresses of Nisa
    667     6    60    205   139.0317  Tomioka Silk Mill and Related Sites
    667     5    60    201  -103.8167  Agave Landscape and Ancient Industrial Facilities of Tequila
    667     5    60    202   -97.3776  El Tajin, Pre-Hispanic City
    667     5    60    200   -91.4064  Monumental Earthworks of Poverty Point
    667     5    60    204    -1.7883  Saltaire
    667     5    60    201    10.1805  Rock Drawings in Valcamonica
    667     5    60    204    16.6103  The Sassi and the Park of the Rupestrian Churches of Matera
    667     5    60    200    22.1861  Gamzigrad-Romuliana, Palace of Galerius
    667     5    60    203    22.9703  Paleochristian and Byzantine Monuments of Thessalonika
    667     5    60    201    25.1833  Petäjävesi Old Church
    667     5    60    204    28.2118  Human Rights, Liberation and Reconciliation: Nelson Mandela Legac
    667     5    60    198    43.0090  Upper Svaneti
    667     5    60    198   100.0075  Cultural Landscape of Old Tea Forests of the Jingmai Mountain in 
    667     5    60    198   109.0093  Great Burkhan Khaldun Mountain and its surrounding sacred landsca
    667     5    60    198   127.0083  Hwaseong Fortress
    667     5    60    200   127.1864  Namhansanseong
    667     5    60    204   139.6106  Shrines and Temples of Nikko
    667     4    60    202   -79.9844  Trinidad and the Valley de los Ingenios
    667     4    60    201     1.0206  Prehistoric Sites and Decorated Caves of the Vézère Valley
    667     4    60    206    28.9833  Historic Areas of Istanbul
    667     4    60    205    70.2133  Dholavira: a Harappan City
    667     4    60    201    76.1872  Hill Forts of Rajasthan
    667     4    60    205    88.9833  Ruins of the Buddhist Vihara at Paharpur
    667     4    60    192   104.6803  Temple of Preah Vihear
    667     3    60    197   -44.3034  Historic Centre of São Luís
    667     3    60    197    -2.3039  Jodrell Bank Observatory
    667     3    60    200     9.9994  Speicherstadt and Kontorhaus District with Chilehaus
    667     2    60    204  -100.7464  Protective town of San Miguel and the Sanctuary of Jesús Nazareno
    667     2    60    227    11.0992  Punic Town of Kerkuane and its Necropolis
    667     2    60    202    13.6464  Hallstatt-Dachstein / Salzkammergut Cultural Landscape
    667     2    60    202    40.0173  The Historic Town and Archaeological Site of Gedi
    667     2    60    227    86.0947  Sun Temple, Konârak
    667     2    60    227   128.0987  Haeinsa Temple Janggyeong Panjeon, the Depositories for the <I>Tr
    667     1    60    196    21.2756  Bardejov Town Conservation Reserve
    667     1    60    211    30.5584  Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings, Kyiv
    667     1    60    210   126.5565  Historic Monuments and Sites in Kaesong

    708     8    59    190    12.1019  Etruscan Necropolises of Cerveteri and Tarquinia
    708     7    59    190    72.1017  Rani-ki-Vav (the Queen’s Stepwell) at Patan, Gujarat
    708     6    59    191   -68.9022  Historic Area of Willemstad, Inner City and Harbour, Curaçao
    708     6    59    191   -47.9000  Brasilia
    708     6    59    192    12.0992  Old town of Regensburg with Stadtamhof
    708     6    59    192    18.0994  Skogskyrkogården
    708     6    59    207    25.2667  Delos
    708     6    59    191   117.1000  Mount Taishan
    708     5    59    205     4.2661  Talayotic Menorca
    708     5    59    190    17.7844  Millenary Benedictine Abbey of Pannonhalma and its Natural Enviro
    708     5    59    204    31.6258  Nubian Monuments from Abu Simbel to Philae
    708     5    59    205    31.9861  Gordion
    708     5    59    204    34.2071  Chongoni Rock-Art Area
    708     4    59    206   -91.7325  National Archaeological Park Tak’alik Ab’aj
    708     4    59    200   -80.0031  Fortifications on the Caribbean Side of Panama: Portobelo-San Lor
    708     4    59    201    -2.4728  Ironbridge Gorge
    708     4    59    206     4.0340  Cathedral of Notre-Dame, Former Abbey of Saint-Rémi and Palace of
    708     4    59    207    13.0333  Palaces and Parks of Potsdam and Berlin
    708     4    59    199    13.5933  Archaeological Area of Agrigento
    708     4    59    199    13.5933  Episcopal Complex of the Euphrasian Basilica in the Historic Cent
    708     4    59    185    42.1378  Harar Jugol, the Fortified Historic Town
    708     4    59    202    84.9939  Mahabodhi Temple Complex at Bodh Gaya
    708     4    59    179    94.8167  Mogao Caves
    708     4    59    179   103.8161  Singapore Botanic Gardens
    708     4    59    179   106.8169  Tusi Sites
    708     4    59    202   126.9936  Jongmyo Shrine
    708     3    59    203     4.6307  Arles, Roman and Romanesque Monuments
    708     3    59    202     4.6494  Mill Network at Kinderdijk-Elshout
    708     3    59    197    15.4843  Landscape for Breeding and Training of Ceremonial Carriage Horses
    708     3    59    204    19.2050  Auschwitz Birkenau <br /><small>German Nazi Concentration and Ext
    708     3    59    202   112.6500  Imperial Tombs of the Ming and Qing Dynasties
    708     2    59    202   -82.3465  Old Havana and its Fortification System
    708     2    59    196   -38.5130  Historic Centre of Salvador de Bahia
    708     2    59    203    -7.7989  Alto Douro Wine Region
    708     2    59    197    12.4850  Archaeological Site of Sabratha
    708     2    59    197    48.6528  Assumption Cathedral and Monastery of the town-island of Sviyazhs
    708     2    59    197    87.6850  Santiniketan
    708     2    59    196   127.0556  Baekje Historic Areas
    708     1    59    197   -65.3489  Quebrada de Humahuaca
    708     1    59    182    -1.1733  Cordouan Lighthouse
    708     1    59    201    21.5289  Krzemionki Prehistoric Striped Flint Mining Region
    708     1    59    202    75.5350  Petroglyphs of the Archaeological Landscape of Tanbaly

    750     7    58    178   -43.1874  Valongo Wharf Archaeological Site
    750     7    58    179     4.8084  Roman Theatre and its Surroundings and the "Triumphal Arch" of Or
    750     6    58    205    34.9873  Bahá’i Holy Places in Haifa and the Western Galilee
    750     6    58    177   127.8067  Gusuku Sites and Related Properties of the Kingdom of Ryukyu
    750     5    58    179   -97.1872  Tehuacán-Cuicatlán Valley: originary habitat of Mesoamerica
    750     5    58    202   -16.3614  Kunta Kinteh Island and Related Sites
    750     5    58    190    -9.2160  Monastery of the Hieronymites and Tower of Belém in Lisbon
    750     5    58    190    -3.2167  Old and New Towns of Edinburgh
    750     5    58    202    -1.3614  Blenheim Palace
    750     5    58    177     4.8061  Historic Centre of Avignon: Papal Palace, Episcopal Ensemble and 
    750     5    58    202    10.6386  Medina of Sousse
    750     5    58    190    14.7814  Longobards in Italy. Places of the Power (568-774 A.D.)
    750     5    58    202    16.6386  Stari Grad Plain
    750     5    58    202    34.6372  Hattusha: the Hittite Capital
    750     5    58    212    36.5686  Ancient Villages of Northern Syria
    750     5    58    189   113.7808  The Archaeological Heritage of Niah National Park’s Caves Complex
    750     4    58    211    -8.4064  Tower of Hercules
    750     4    58    189     0.1075  Le Havre, the City Rebuilt by Auguste Perret
    750     4    58    175    21.0130  Historic Centre of Warsaw
    750     4    58    175    36.0126  Petroglyphs of Lake Onega and the White Sea
    750     3    58    192   -72.2343  National History Park – Citadel, Sans Souci, Ramiers
    750     3    58    188     5.7717  Schokland and Surroundings
