UNESCO A-TIER SITES: GERIZIM vs JERUSALEM ANCHOR COMPARISON
Generated : Fri Apr 17 01:53:57 UTC 2026
Script    : tools/generate_audit_aplus_sites.py
Corpus    : 1011 inscribed Cultural/Mixed UNESCO sites with coordinates
           + 1 synthetic Gerizim entry = 1012 extended corpus
Beru      : 30.0°  |  A+ threshold: <= 0.002 beru (6.7 km)  |  A threshold: <= 0.01 beru (33 km)
Gerizim   : 35.269°E  (Tentative List, ref. 5706 — not yet inscribed)
Jerusalem : 35.2317°E  (inscribed corpus member)  [0.0373° = 4.1 km separation]
Self-exclusion: each anchor removes itself → both test against N=1011.
  Gerizim corpus : N=1011  (inscribed 1011, excl. Gerizim; incl. Jerusalem)
  Jerusalem corpus: N=1011  (inscribed 1011, excl. Jerusalem; incl. Gerizim)

────────────────────────────────────────────────────────────────────────────────────────────────
SUMMARY

  Anchor           N corpus    A++     A+   A (all)    A+ %       A+ p           A %        A p      
  --------------------------------------------------------------------------------------
  Gerizim              1011      7     56       228    5.5%     0.0103     *   22.6%     0.0246     *
  Jerusalem            1011      7     57       218    5.6%     0.0070    **   21.6%     0.1151    ns

  A+ null rate: 4%   A null rate: 20%
  A+ overlap (both anchors): 38 sites
  A+ unique to Gerizim: 18 sites
  A+ unique to Jerusalem: 19 sites

────────────────────────────────────────────────────────────────────────────────────────────────
GERIZIM (35.269°E) — ALL A-TIER SITES  (A++=7, A+=56, A=172, total=228)
  Tier   Dev (beru)      km  Dir  Harmonic      Lon°E  Site
  ----------------------------------------------------------------------------------------
  --- A++ ---
  A        0.002061     6.9    E       4.1   158.3308  Nan Madol: Ceremonial Centre of Eastern Micronesia
  A        0.002089     7.0    W       0.8    11.3317  Historic Centre of Siena
  A        0.002102     7.0    W       3.5   -69.7941  Humberstone and Santa Laura Saltpeter Works
  A        0.002170     7.2    W       0.6    17.2039  Richtersveld Cultural and Botanical Landscape
  A        0.002172     7.2    W       0.7    14.3342  Villa Romana del Casale
  A        0.002207     7.4    W       3.6   -72.7972  Chiribiquete National Park – “The Maloca of the Jaguar”
  A        0.002327     7.7    W       1.7   -15.6612  Risco Caido and the Sacred Mountains of Gran Canaria Cultural Landscape
  A        0.002330     7.8    W       1.4    -6.6611  Prehistoric Rock Art Sites in the Côa Valley and Siega Verde
  A        0.002337     7.8    E       1.5    80.1989  Group of Monuments at Mahabalipuram
  A        0.002356     7.8    W       0.8    11.3397  Bauhaus and its Sites in Weimar, Dessau and Bernau
  A        0.002404     8.0    W       0.8    11.3411  Rock Carvings in Tanum
  A        0.002439     8.1    W       0.0    35.1958  Tyre
  A        0.002514     8.4    W       5.8  -138.6556  Te Henua Enata – The Marquesas Islands
  A        0.002565     8.5    W       0.7    14.1921  Historic Centre of Naples
  A        0.002619     8.7    W       2.6   -42.6524  Serra da Capivara National Park
  A        0.002681     8.9    E       2.6   113.3494  Mount Wutai
  A        0.002717     9.0    E       0.4    47.1875  Historic Centre of Sheki with the Khan’s Palace
  A        0.002733     9.1    W       0.4    23.1870  Rock Art of Alta
  A        0.002783     9.3    E       3.3   134.3525  Rock Islands Southern Lagoon
