wikidata_id,lat,lon,region,beru_dev,tier
Q22991924,34.67049,32.87635,Arab States,0.02007833333333338,B
Q22991943,34.75658,32.40478,Arab States,0.004359333333333382,A
Q25385596,34.724281085,32.585925233,Arab States,0.010397507766666564,B
Q25393684,34.71144,32.58105,Arab States,0.010234999999999897,B
Q53556398,34.75833333,32.40611111,Arab States,0.004403703666666564,A
Q59139488,34.704,32.8402,Arab States,0.01887333333333341,B
Q69125006,34.853218,32.36274,Arab States,0.002958000000000058,A
Q77289407,34.77598,32.40633,Arab States,0.004410999999999873,A
Q78929227,34.5687,32.9659,Arab States,0.023063333333333227,B
Q82073664,34.761623,32.412498,Arab States,0.004616599999999957,A
Q82074122,34.707073,32.573788,Arab States,0.009992933333333329,A
Q82074132,34.673576,32.863743,Arab States,0.019658099999999956,B
Q99896666,34.6642,32.8877,Arab States,0.02045666666666672,B
Q100825695,34.824555555,32.395944444,Arab States,0.0040648148000000245,A
Q100832304,34.813222222,32.405972222,Arab States,0.0043990740666667305,A
Q103168232,34.68,32.77,Arab States,0.016533333333333414,B
Q103188828,34.7,32.57,Arab States,0.009866666666666649,A
Q109769329,34.7131,32.856805555,Arab States,0.019426851833333342,B
Q112771862,34.7359,32.4355,Arab States,0.005383333333333226,A
Q117287877,34.7622211,32.4132453,Arab States,0.004641509999999974,A
Q123182959,34.791985223,32.402551622,Arab States,0.004285054066666544,A
Q124518573,36.387169,30.265806,Europe,0.03306020000000001,B
Q125933413,36.3430206,30.1703021,Europe,0.02987673666666668,B
Q529237,36.02417,32.8025,Europe,0.01761666666666671,B
Q579389,36.15726,32.41602,Europe,0.004734000000000085,A
Q1424724,36.26111111,32.28472222,Europe,0.0003574073333332817,A+
Q1434907,36.32055556,32.235,Europe,0.0013000000000000372,A+
Q1524213,36.080833333,32.894444444,Europe,0.02068148146666668,B
Q1609020,36.240622,32.450373,Europe,0.005879099999999943,A
Q1963565,36.099828,32.978168,Europe,0.023472266666666533,B
Q28220752,36.10444444,33.01722222,Europe,0.024774073999999993,B
Q85769878,36.319837,32.235969,Europe,0.0012677000000001215,A+
