# owtrad_routes.csv — OWTRAD Silk Road route network (edge list)
# DO NOT HAND-EDIT. Regenerate: python3 data/scripts/fetch_owtrad_silk_road.py
# Generated: 2026-04-27T04:51:52Z
# Source: Ciolek, T.M. (2004+). OWTRAD Project. www.ciolek.com/owtrad.html
# Datasets attempted: tmcXMEm1400, tmcTRm1200a, tmcTRm1200b, tmcTRm1300, tmcIRa0100, tmcIRa0500, tmcZCAm0200, tmcZCAm0600, tmcZCAm0800, tmcZCAm1000, tmcZCAm1000a, tmcTMm1100, tmcTJm0400a, tmcTJm0400b, tmcKGa0100a, tmcKGa0100b, tmcKGa0100c, tmcKGa0100e, tmcZMEm1300, tmcINm1550, tmcCNm1000, tmcCNm0620, tmcCNm0680a, tmcCNm0680b, tmcCNm0680c, tmcCNm1500, tmcCNm1700, tmcCNm1850, tmcCNm1920, tmcKHm1200, tmcKGa0100d
# Licence: Open Publication License v1.0
# N = 1946 edges
dataset,lon1,lat1,lon2,lat2,node1,node2,country1,country2
tmcXMEm1400,21.700000,36.816700,20.212900,38.036000,Modon,sealoc09-tmc050503,GR,GR
tmcXMEm1400,20.212900,38.036000,19.919722,39.619999,sealoc09-tmc050503,Corfu,GR,GR
tmcXMEm1400,25.130600,35.325000,28.217000,36.433000,Candia,Rhodes,GR,GR
tmcXMEm1400,28.217000,36.433000,32.680000,34.480000,Rhodes,sealoc13-tmc051112,GR,CY
tmcXMEm1400,32.680000,34.480000,33.980000,34.840000,sealoc13-tmc051112,sealoc14-tmc051112,CY,CY
tmcXMEm1400,33.980000,34.840000,33.950000,35.125000,sealoc14-tmc051112,Famagusta,CY,CY
tmcXMEm1400,33.950000,35.125000,35.509724,33.871944,Famagusta,Beirut,CY,LB
tmcXMEm1400,22.518900,36.350400,23.223800,36.417200,sealoc10-tmc050503,sealoc11-tmc050503,GR,GR
tmcXMEm1400,23.223800,36.417200,23.600000,38.466667,sealoc11-tmc050503,Negroponte,GR,GR
tmcXMEm1400,23.600000,38.466667,26.333602,40.185728,Negroponte,sealoc16-tmc050503,GR,TR
tmcXMEm1400,26.333602,40.185728,28.966667,41.016666,sealoc16-tmc050503,Constantinople,TR,TR
tmcXMEm1400,28.966667,41.016666,36.500000,45.243500,Constantinople,sealoc15-tmc051112,TR,UA
tmcXMEm1400,36.500000,45.243500,39.413612,47.110001,sealoc15-tmc051112,Tana,TR,RU
tmcXMEm1400,36.500000,45.243500,39.716667,41.000000,sealoc15-tmc051112,Trebizond,TR,TR
tmcXMEm1400,39.716667,41.000000,35.150002,42.016666,Trebizond,Sinope,TR,TR
tmcXMEm1400,35.150002,42.016666,32.913300,42.118200,Sinope,sealoc17-tmc050503,TR,TR
tmcXMEm1400,32.913300,42.118200,28.966667,41.016666,sealoc17-tmc050503,Constantinople,TR,TR
tmcTRm1200a,26.566668,41.666668,28.966667,41.016666,Edirne,Istanbul,TR,TR
tmcTRm1200a,25.874400,40.847500,26.383100,40.918100,loc01-tmc050521,loc02-tmc050521,GR,GR
tmcTRm1200a,26.383100,40.918100,26.630300,40.855800,loc02-tmc050521,loc03-tmc050521,GR,TR
tmcTRm1200a,26.630300,40.855800,26.666668,40.400002,loc03-tmc050521,loc04-tmc050521,TR,TR
tmcTRm1200a,26.666668,40.400002,26.356400,40.183900,loc04-tmc050521,loc05-tmc050521,TR,TR
tmcTRm1200a,26.356400,40.183900,26.400000,40.150002,loc05-tmc050521,Canakkale,TR,TR
tmcTRm1200a,26.400000,40.150002,26.685600,40.344200,Canakkale,loc06-tmc050521,TR,TR
tmcTRm1200a,26.685600,40.344200,27.242200,40.228100,loc06-tmc050521,loc07-tmc050521,TR,TR
tmcTRm1200a,27.242200,40.228100,27.976700,40.352200,loc07-tmc050521,loc08-tmc050521,TR,TR
tmcTRm1200a,27.976700,40.352200,29.067000,40.200000,loc08-tmc050521,Bursa,TR,TR
tmcTRm1200a,29.067000,40.200000,29.156700,40.433100,Bursa,loc09-tmc050521,TR,TR
tmcTRm1200a,29.308900,40.489200,29.284700,40.653600,loc10-tmc050521,loc11-tmc050521,TR,TR
tmcTRm1200a,29.284700,40.653600,29.615000,40.689200,loc11-tmc050521,loc12-tmc050521,TR,TR
tmcTRm1200a,29.828600,40.716700,29.917000,40.783000,loc13-tmc050521,Kocaeli,TR,TR
tmcTRm1200a,29.156700,40.433100,29.721100,40.428600,loc09-tmc050521,loc14-tmc050521,TR,TR
tmcTRm1200a,29.721100,40.428600,29.560800,40.481900,loc14-tmc050521,loc15-tmc050521,TR,TR
tmcTRm1200a,29.560800,40.481900,29.615000,40.689200,loc15-tmc050521,loc12-tmc050521,TR,TR
tmcTRm1200a,28.966667,41.016666,29.430600,40.797800,Istanbul,loc16-tmc050521,TR,TR
tmcTRm1200a,29.430600,40.797800,29.917000,40.783000,loc16-tmc050521,Kocaeli,TR,TR
tmcTRm1200a,29.917000,40.783000,30.403300,40.780600,Kocaeli,Sakarya,TR,TR
tmcTRm1200a,30.403300,40.780600,31.606100,40.735800,Sakarya,Bolu,TR,TR
tmcTRm1200a,29.156700,40.433100,29.308900,40.489200,loc09-tmc050521,loc10-tmc050521,TR,TR
tmcTRm1200a,29.615000,40.689200,29.828600,40.716700,loc12-tmc050521,loc13-tmc050521,TR,TR
tmcTRm1200a,31.606100,40.735800,32.020300,40.760600,Bolu,frk01-tmc050521,TR,TR
tmcTRm1200a,32.020300,40.760600,31.955800,41.219200,frk01-tmc050521,loc17-tmc050521,TR,TR
tmcTRm1200a,31.955800,41.219200,32.694200,41.250800,loc17-tmc050521,loc18-tmc050521,TR,TR
tmcTRm1200a,32.694200,41.250800,33.771100,41.372200,loc18-tmc050521,Kastamonu,TR,TR
tmcTRm1200a,33.771100,41.372200,34.214700,41.513900,Kastamonu,loc19-tmc050521,TR,TR
