# owtrad_nodes.csv — OWTRAD Silk Road network nodes
# DO NOT HAND-EDIT. Regenerate: python3 data/scripts/fetch_owtrad_silk_road.py
# Generated: 2026-04-26T02:10:21Z
# Source: Ciolek, T.M. (2004+). OWTRAD Project. www.ciolek.com/owtrad.html
# N = 194 nodes
dataset,name,lon,lat,country,node_id
tmcIRa0100,Carura,74.900002,14.016667,IN,40
tmcIRa0100,Charax,48.182220,30.441944,IQ,155
tmcIRa0100,Coptus,32.817000,26.000000,EG,134
tmcIRa0100,Ctesiphon,44.583332,33.083332,IQ,10
tmcIRa0100,Gerrha,50.214443,25.643057,SA,11
tmcIRa0100,Hormuz,56.417000,27.083000,IR,63
tmcIRa0100,Isatichae,54.367500,31.897223,IR,70
tmcIRa0100,Kabul,69.183000,34.517000,AF,75
tmcIRa0100,Kermanshah,47.067000,34.317000,IR,21
tmcIRa0100,Madura,78.450000,10.950000,IN,94
tmcIRa0100,Meshed,59.598610,36.305000,IR,98
tmcIRa0100,Moscha,54.575877,16.966481,YE,104
tmcIRa0100,Muza,43.249168,13.319722,YE,106
tmcIRa0100,Muziris,76.216667,10.216667,IN,107
tmcIRa0100,Neh,60.070000,31.565277,IR,110
tmcIRa0100,Ocelis,43.398128,13.002475,YE,115
tmcIRa0100,Paethana,75.383331,19.483334,IN,119
tmcIRa0100,Palmyra,38.283000,34.550000,SY,169
tmcIRa0100,Persepolis,52.889721,29.935833,IR,159
tmcIRa0100,Petra,35.433000,30.333000,JO,123
tmcIRa0100,Phra,62.116669,32.366669,AF,500
tmcIRa0100,Rhagae,51.417000,35.583000,IR,136
tmcIRa0100,Rhambacia,66.316666,26.233334,PK,137
tmcIRa0100,Seleucia,44.533333,33.150002,IQ,146
tmcIRa0100,Simylla,72.879037,19.956095,IN,152
tmcIRa0100,Smyrna,27.150000,38.416668,TR,73
tmcIRa0100,Tashkurgan,75.233330,37.783333,CN,164
tmcIRa0100,Ujjain,75.833000,23.183000,IN,171
tmcIRa0100,Yarkand,77.267000,38.450000,CN,149
tmcIRa0100,Zeugma,37.966667,37.033333,TR,243
tmcIRa0100,loc10-tmc010201,43.133331,36.333332,TR,639
tmcIRa0100,loc11-tmc010201,82.766670,37.066666,TR,222
tmcCNm1000,Anxi,95.800003,40.500000,CN,180
tmcCNm1000,Artux,76.166664,39.666668,CN,1252
tmcCNm1000,Bachn,78.250000,39.766666,CN,1253
tmcCNm1000,Baicheng,81.866669,41.766666,CN,1219
tmcCNm1000,Balguntay,86.250000,42.700001,CN,1248
tmcCNm1000,Barkol,92.849998,43.583332,CN,1234
tmcCNm1000,Bextograk,86.966667,38.516666,CN,1260
tmcCNm1000,Bohu,86.483330,41.966667,CN,1250
tmcCNm1000,Changji,87.316666,44.016666,CN,1229
tmcCNm1000,Daqunwan,93.800003,42.766666,CN,1243
tmcCNm1000,Erpu,93.133331,42.916668,CN,1238
tmcCNm1000,frk01-tmc020218,85.000200,44.416668,CN,1270
tmcCNm1000,frk02-tmc020218,93.135000,42.930000,CN,1271
tmcCNm1000,frk03-tmc020218,83.300100,43.400100,CN,1272
tmcCNm1000,frk04-tmc020218,89.066666,43.983400,CN,1273
tmcCNm1000,Ganhezi,88.216667,44.150002,CN,1230
tmcCNm1000,Hami,93.449997,42.799999,CN,527
tmcCNm1000,Hejing,86.300003,42.299999,CN,1247
tmcCNm1000,Horgars Pass,80.408333,44.233334,CN,1218
tmcCNm1000,Hoxud,86.849998,42.266666,CN,1245
tmcCNm1000,Huocheng,80.816666,44.049999,CN,529
tmcCNm1000,Hutubi,86.950000,44.299999,CN,1228
tmcCNm1000,Jingiueguo,83.600000,38.274510,CN,1266
tmcCNm1000,Kizer,82.449997,41.816666,CN,223
tmcCNm1000,Korla,86.150002,41.733334,CN,88
tmcCNm1000,loc01-tmc020218,81.300003,44.583332,CN,1221
tmcCNm1000,loc02-tmc020218,82.083336,44.666668,CN,1222
tmcCNm1000,loc03-tmc020218,82.833300,44.650100,CN,1223
tmcCNm1000,loc04-tmc020218,86.054054,43.254902,CN,1276
tmcCNm1000,loc05-tmc020218,74.449997,38.800000,CN,1277
tmcCNm1000,loc06-tmc020218,95.240000,43.250000,CN,1278
tmcCNm1000,loc07-tmc020218,84.150000,43.320000,CN,1284
tmcCNm1000,loc08-tmc020218,95.116669,41.780000,CN,1280
tmcCNm1000,loc09-tmc020218,73.800003,38.700001,CN,1259
tmcCNm1000,loc10-tmc020218,90.181818,40.862745,CN,1281
tmcCNm1000,loc11-tmc020218,91.116883,40.235294,CN,1282
tmcCNm1000,loc12-tmc020218,92.000000,40.784314,CN,1283
tmcCNm1000,loc13-tmc020218,95.500000,41.099998,CN,1264
tmcCNm1000,loc14-tmc020218,77.833336,35.500000,CN,975
tmcCNm1000,loc15-tmc020218,76.699997,37.866669,CN,1257
tmcCNm1000,loc16-tmc020218,76.199997,38.000000,CN,1256
tmcCNm1000,loc17-tmc020218,74.483330,37.083332,CN,1075
tmcCNm1000,loc18-tmc020218,77.983330,36.466667,CN,1269
tmcCNm1000,loc19-tmc020218,75.230000,37.100000,CN,1285
tmcCNm1000,Luntai Ancient City,84.166664,41.500000,CN,1262
tmcCNm1000,Manas,86.216667,44.299999,CN,1227
tmcCNm1000,Milan Ancient City,88.833336,39.250000,CN,103
tmcCNm1000,Mori,90.183334,43.816666,CN,1233
tmcCNm1000,Narat,84.050003,43.366669,CN,1251
tmcCNm1000,Pishan,78.316666,37.633331,CN,985
tmcCNm1000,Qapqal,81.166664,43.799999,CN,1220
tmcCNm1000,Qiemo Ancient City,85.250000,38.215686,CN,1267
tmcCNm1000,Qijiaojing,91.599998,43.466667,CN,613
tmcCNm1000,Qiktim,90.599998,43.000000,CN,1241
tmcCNm1000,Qitai,89.466667,44.016666,CN,1232
tmcCNm1000,Ruoqiang,88.000000,39.033333,CN,139
tmcCNm1000,Shanshan,90.166664,42.866669,CN,230
tmcCNm1000,Shawan,85.616669,44.349998,CN,1226
tmcCNm1000,Shufu,75.866669,39.450001,CN,1254
tmcCNm1000,Toksun,88.633331,42.783333,CN,1246
tmcCNm1000,Turpanzhan,88.949997,43.150002,CN,1242
tmcCNm1000,Yandun,94.116669,42.366669,CN,1239
tmcCNm1000,Yecheng,77.433334,37.900002,CN,983
tmcCNm1000,Yengisar,76.150002,38.933334,CN,1016
tmcCNm1000,Yining,81.349998,43.900002,CN,646
tmcCNm1000,Yiwu,94.583336,43.250000,CN,1235
tmcCNm1000,Yuli,86.383331,41.500000,CN,1263
tmcCNm1000,Yumi,82.487805,37.921569,CN,1268
tmcCNm1000,Zepu,77.300003,38.200001,CN,1258
tmcCNm1000,Zhaosu,81.116669,43.166668,CN,1215
